City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Uruzgan,AF,32.8333,66.0,35.83,88,6,0.47,clear sky
217,Chirongui,YT,-12.9319,45.1483,78.73,70,0,7.02,clear sky
218,Visnes,NO,59.3556,5.2242,32.22,54,30,11.5,scattered clouds
219,Boden,SE,65.8252,21.6886,19.4,90,100,9.33,overcast clouds
220,Alta Floresta,BR,-9.8756,-56.0861,71.74,94,100,0.98,light rain
221,Cedartown,US,34.0537,-85.255,63.72,97,100,2.35,overcast clouds
222,Kesova Gora,RU,57.5836,37.2922,18.82,97,100,5.3,overcast clouds
223,Lebu,CL,-37.6167,-73.65,57.24,84,99,6.98,overcast clouds
224,Newport,GB,51.5877,-2.9984,35.71,92,19,5.3,few clouds
225,Vryburg,ZA,-26.9566,24.7284,69.13,68,77,7.47,broken clouds
226,Lamu,KE,-2.2717,40.902,78.4,84,100,5.17,overcast clouds
227,Santa Maria,BR,-29.6842,-53.8069,76.3,61,0,4.61,clear sky
228,Hofn,IS,64.2539,-15.2082,33.91,66,8,21.59,clear sky
229,Kolondieba,ML,11.0882,-6.8926,72.66,26,0,3.85,clear sky
230,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,94,75,35.61,moderate rain
231,Matara,LK,5.9485,80.5353,77.34,89,100,11.83,moderate rain
232,Clyde River,CA,70.4692,-68.5914,1.63,85,100,10.36,light snow
233,Warrington,GB,53.3925,-2.5802,37.62,94,98,3.42,light snow
234,Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,0,14.97,clear sky
235,Matagami,CA,49.7502,-77.6328,-5.69,77,0,3.44,clear sky
236,Santa Cruz,BO,-17.8,-63.1667,83.66,65,30,13.8,scattered clouds
237,Haradok,BY,55.4624,29.9816,26.71,100,97,2.26,overcast clouds
238,Porvoo,FI,60.3923,25.6651,30.7,92,100,7.34,snow
239,Honningsvag,NO,70.9821,25.9704,24.55,80,40,3.44,scattered clouds
240,Husavik,IS,66.0449,-17.3389,28.51,82,97,2.57,overcast clouds
241,San Luis,AR,-33.295,-66.3356,74.44,67,0,21.39,clear sky
242,Dire Dawa,ET,9.5931,41.8661,61.03,37,20,1.63,few clouds
243,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.39,83,89,11.39,overcast clouds
244,Chimala,TZ,-8.85,34.0167,67.12,78,100,2.51,light rain
245,Brest,BY,52.1,23.7,30.96,98,100,11.61,snow
246,Constantine,DZ,36.365,6.6147,54.81,87,75,25.32,thunderstorm with rain
247,Kuytun,RU,54.3419,101.5036,-8.77,93,11,3.78,few clouds
248,Khuzdar,PK,27.7384,66.6434,50.63,56,71,4.52,broken clouds
249,Granville,AU,-33.8333,151.0167,72.46,55,75,11.5,broken clouds
250,Strezhevoy,RU,60.7333,77.5889,-22.36,97,28,9.31,scattered clouds
251,Tabuk,PH,17.4189,121.4443,77.81,76,87,8.55,overcast clouds
252,Banepa,NP,27.6298,85.5214,44.92,87,20,2.3,mist
253,Samfya,ZM,-11.3649,29.5565,64.22,95,100,6.22,moderate rain
254,Faya,SA,18.3851,42.4509,51.91,85,13,1.81,few clouds
255,Nesna,NO,66.1967,13.0213,24.67,67,75,12.88,broken clouds
256,Longyearbyen,SJ,78.2186,15.6401,21.04,79,40,3.44,scattered clouds
257,Kushmurun,KZ,52.4503,64.6311,-3.71,89,68,7.72,broken clouds
258,Soyo,AO,-6.1349,12.3689,77.9,90,100,7.16,light rain
259,Zabid,YE,14.1951,43.3152,72.68,86,0,6.6,clear sky
260,Mezen,RU,65.8522,44.24,10.18,91,99,10.45,overcast clouds
261,Point Pleasant,US,40.0832,-74.0682,41.02,64,0,5.01,clear sky
262,San Ramon,US,37.7799,-121.978,52.72,80,100,1.99,overcast clouds
263,Colonial Heights,US,37.268,-77.4073,45.91,67,100,3.0,overcast clouds
264,Hobyo,SO,5.3505,48.5268,78.67,72,99,16.84,overcast clouds
265,Banes,CU,20.9625,-75.7186,72.03,74,5,6.6,clear sky
266,Chichli,IN,22.8333,78.8167,54.93,51,56,5.06,broken clouds
267,Road Town,VG,18.4167,-64.6167,77.04,78,20,4.61,few clouds
268,Talara,PE,-4.5772,-81.2719,68.76,83,75,17.27,drizzle
269,Urazovo,RU,50.0836,38.0395,34.83,96,100,12.35,overcast clouds
270,Nueve De Julio,AR,-35.4444,-60.8831,70.97,92,100,3.42,overcast clouds
271,Saint-Louis,SN,16.3333,-15.0,82.27,17,0,8.1,clear sky
272,Trincomalee,LK,8.5711,81.2335,75.6,80,59,12.06,broken clouds
273,Abnub,EG,27.2696,31.1511,57.42,30,0,5.39,clear sky
274,Arbazh,RU,57.6804,48.3065,20.84,95,100,11.05,light snow
275,Wilmington,US,34.2257,-77.9447,50.86,78,21,1.99,few clouds
276,Vestmannaeyjar,IS,63.4427,-20.2734,36.46,52,0,4.9,clear sky
277,Sinnamary,GF,5.3833,-52.95,77.22,87,100,9.33,overcast clouds
278,Takoradi,GH,4.8845,-1.7554,79.61,82,6,4.63,clear sky
279,Balurghat,IN,25.2167,88.7667,64.81,63,6,5.48,clear sky
280,Cumana,VE,10.4635,-64.1775,77.0,74,87,6.93,overcast clouds
281,Ostersund,SE,63.1792,14.6357,18.61,93,100,6.91,overcast clouds
282,Semey,KZ,50.4111,80.2275,-19.98,76,0,0.0,clear sky
283,Slavonice,CZ,48.9975,15.3515,32.63,97,100,3.36,overcast clouds
284,Pusad,IN,19.9,77.5833,59.81,43,83,5.08,broken clouds
285,Novo Aripuana,BR,-5.1206,-60.3797,77.29,78,84,1.23,broken clouds
286,Omboue,GA,-1.5746,9.2618,76.84,88,100,2.55,overcast clouds
287,Natal,BR,-5.795,-35.2094,79.02,78,40,6.91,scattered clouds
288,Yabrud,SY,33.9674,36.6574,42.21,80,1,1.83,clear sky
289,San Ignacio,BZ,17.1561,-89.0714,68.77,97,32,1.16,scattered clouds
290,Manavalakurichi,IN,8.1333,77.3,77.09,79,79,11.81,broken clouds
291,Bud,US,39.447,-86.1758,45.9,97,100,3.94,overcast clouds
292,Denizli,TR,37.8402,29.0698,51.08,72,99,3.89,overcast clouds
293,Virarajendrapet,IN,12.2,75.8,61.48,84,91,2.66,overcast clouds
294,Awjilah,LY,29.1081,21.2869,62.76,37,0,8.63,clear sky
295,San Cristobal,VE,7.7669,-72.225,65.84,94,61,1.32,broken clouds
296,Solaro,IT,44.8799,9.1732,41.45,95,100,1.39,overcast clouds
297,Rabo De Peixe,PT,37.8,-25.5833,63.28,100,75,25.32,moderate rain
298,Novaya Ladoga,RU,60.1025,32.3019,27.09,87,100,6.31,overcast clouds
299,Dudinka,RU,69.4058,86.1778,-24.32,99,17,6.26,few clouds
300,Doha,QA,25.2867,51.5333,69.78,56,0,9.22,clear sky
301,The Valley,AI,18.217,-63.0578,77.83,66,0,7.7,clear sky
302,Marathon,US,44.9,-89.7668,28.35,83,100,12.66,overcast clouds
303,Sarahan,IN,31.5167,77.8,40.69,44,100,7.47,overcast clouds
304,Cap Malheureux,MU,-19.9842,57.6142,76.46,74,25,10.0,light rain
305,Amapa,BR,1.0,-52.0,73.99,81,100,3.87,overcast clouds
306,Cururupu,BR,-1.8283,-44.8683,75.94,88,7,4.0,clear sky
307,Muros,ES,42.7762,-9.0603,49.08,74,8,12.35,clear sky
308,Huarmey,PE,-10.0681,-78.1522,67.01,85,100,7.07,overcast clouds
309,Korla,CN,41.7597,86.1469,23.94,52,100,1.66,overcast clouds
310,Clarence Town,AU,-32.5833,151.7833,69.85,53,100,7.2,overcast clouds
311,Margate,GB,51.3813,1.3862,30.31,85,27,12.55,scattered clouds
312,Port-Gentil,GA,-0.7193,8.7815,81.16,77,100,7.81,overcast clouds
313,Lizzano,IT,40.391,17.4476,62.37,90,100,10.33,overcast clouds
314,Jibuti,DJ,11.5,42.5,66.72,81,3,10.4,clear sky
315,Severnyy,RU,50.677,36.5532,33.84,100,100,6.71,fog
316,Raudeberg,NO,61.9875,5.1352,23.95,53,15,6.26,few clouds
317,Gayeri,BF,12.6497,0.4931,69.69,19,0,8.52,clear sky
318,Mpika,ZM,-11.8343,31.4529,60.01,96,100,4.63,overcast clouds
319,Stornoway,GB,58.2093,-6.3865,40.96,85,75,17.27,broken clouds
320,Moyale,KE,3.5167,39.0584,64.15,83,73,1.25,broken clouds
321,Upington,ZA,-28.4478,21.2561,76.15,45,29,4.47,scattered clouds
322,Royan,FR,45.6285,-1.0281,29.79,87,6,12.06,clear sky
323,Petropavlovskoye,RU,52.0712,84.107,2.03,96,100,4.38,overcast clouds
324,Yar-Sale,RU,66.8333,70.8333,1.76,93,100,14.47,overcast clouds
325,Angoche,MZ,-16.2325,39.9086,76.26,90,52,5.23,broken clouds
326,Kulykivka,UA,51.3735,31.6466,33.76,100,100,5.61,overcast clouds
327,Rio Cuarto,AR,-33.1307,-64.3499,74.68,84,31,10.69,moderate rain
328,Kaka,TM,37.3482,59.6143,25.9,52,1,5.73,clear sky
329,Gravdal,NO,68.1214,13.5031,31.28,54,2,11.7,clear sky
330,Akhmim,EG,26.5622,31.745,55.6,34,0,6.11,clear sky
331,Havre-Saint-Pierre,CA,50.2334,-63.5986,16.05,58,52,17.69,broken clouds
332,Bartica,GY,6.4,-58.6167,72.03,99,96,2.17,overcast clouds
333,Moose Factory,CA,51.2585,-80.6094,-6.93,99,33,4.5,scattered clouds
334,Maarianhamina,AX,60.0973,19.9348,26.46,100,75,1.14,light snow
335,Svetlogorsk,BY,52.6333,29.7333,32.49,100,100,3.24,overcast clouds
336,Rabak,SD,13.1809,32.74,72.7,30,4,11.61,clear sky
337,Santa Cruz De Tenerife,ES,28.4682,-16.2546,72.28,88,100,3.0,overcast clouds
338,Pisco,PE,-13.7,-76.2167,68.02,80,100,1.54,overcast clouds
339,Saint-Augustin,CA,51.226,-58.6502,31.98,95,100,7.54,overcast clouds
340,Artigas,UY,-30.4,-56.4667,85.05,23,100,9.93,overcast clouds
341,Tazmalt,DZ,36.3868,4.3989,56.84,89,100,6.93,light rain
342,Touros,BR,-5.1989,-35.4608,78.57,79,9,11.34,clear sky
343,Betare Oya,CM,5.6,14.0833,66.22,36,9,1.9,clear sky
344,Tigre,AR,-34.426,-58.5796,73.35,88,20,18.41,few clouds
345,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,95.65,31,40,11.83,scattered clouds
