,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Wiwili,NI,68.36,clear sky,13.6268,-85.8254,Hotel Victoria
419,Gaoual,GN,72.77,clear sky,11.75,-13.2,Hotel
420,Syracuse,IT,61.32,overcast clouds,37.0881,15.2792,Hotel Panorama
422,Maragogi,BR,78.03,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
423,Mosquera,CO,53.31,overcast clouds,4.7059,-74.2302,Hotel San Martin
425,Ponta Delgada,PT,64.51,moderate rain,37.7333,-25.6667,Hotel Talisman
426,Valdosta,US,66.04,clear sky,30.8327,-83.2785,Comfort Inn & Suites
430,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
432,Camana,PE,67.66,overcast clouds,-16.6228,-72.7111,Caja Arequipa
439,Cubarral,CO,69.48,scattered clouds,3.7935,-73.8406,HOTEL EL PARQUE DE CUBARRAL
447,Taltal,CL,64.31,few clouds,-25.4,-70.4833,Hostería Taltal
452,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Deyna's City Inn
454,San Rafael,AR,79.34,few clouds,-34.6177,-68.3301,Hotel Regional
457,Dunmore Town,BS,76.46,few clouds,25.5,-76.65,The Landing Hotel & Restaurant
460,Kasungu,MW,66.09,light rain,-13.0333,33.4833,Kasungu Inn
464,Serenje,ZM,60.55,light rain,-13.2325,30.2352,Mogan Guesthouse
465,Namanyere,TZ,59.43,light rain,-7.5167,31.05,Cheap lodge
466,Lima,PE,67.69,overcast clouds,-12.0432,-77.0282,Hotel Peach Garden
467,Palafrugell,ES,52.63,overcast clouds,41.9174,3.1631,Hostal Plaja
470,Urcos,PE,53.49,light rain,-13.6861,-71.6228,Hospedaje Rafael
472,Punta Gorda,US,72.0,clear sky,26.9298,-82.0454,SpringHill Suites by Marriott Punta Gorda Harborside
475,Dimona,IL,54.59,clear sky,31.0667,35.0333,מלון דרכים
476,Muisne,EC,74.52,overcast clouds,0.6,-80.0333,Hostal Té de Menta
478,Torres,BR,70.83,few clouds,-29.3353,-49.7269,Residencial Medusa
480,Kastrakion,GR,54.95,overcast clouds,39.7156,21.6181,Spainis
486,Pokhara,NP,58.05,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
490,Sao Felix Do Xingu,BR,71.91,overcast clouds,-6.6447,-51.995,Hotel Terraço
493,Praia,CV,75.74,few clouds,14.9215,-23.5087,Casa Sodadi
494,Milos,GR,62.91,overcast clouds,36.75,24.4333,Milos village
498,Porto Belo,BR,76.15,scattered clouds,-27.1578,-48.5531,Residencial Maravilha
504,Mana,GF,76.41,overcast clouds,5.6592,-53.7767,Le Samana
505,Berberati,CF,69.08,broken clouds,4.2612,15.7922,Hotel Mont Fleury
510,Los Llanos De Aridane,ES,66.13,clear sky,28.6585,-17.9182,Valle Aridane
511,Martina Franca,IT,58.1,overcast clouds,40.7031,17.3339,Villaggio In
514,Porbandar,IN,69.35,clear sky,21.6422,69.6093,Toran Tourist Bungalow
518,Paramonga,PE,67.05,overcast clouds,-10.6667,-77.8333,Hotel Rico
520,Crossville,US,54.91,overcast clouds,35.949,-85.0269,TownePlace Suites
523,Pljevlja,ME,52.3,overcast clouds,43.3333,19.3333,Hotel Franca
524,Ndola,ZM,61.2,overcast clouds,-12.9587,28.6366,Starscape Hotel
534,Le Marin,MQ,73.72,few clouds,14.4721,-60.8697,La Dunette
536,Uzice,RS,56.95,overcast clouds,43.8586,19.8488,Хотел Палас
543,Kamina,CD,61.52,overcast clouds,-8.7386,24.9906,Hôtel DG
544,Awbari,LY,66.79,clear sky,26.5921,12.7805,فندق اوباري
546,Bonanza,NI,67.77,scattered clouds,14.0289,-84.591,Hotel Cristian
547,Mango,US,68.86,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
551,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Hôtel Trévani
554,Lagunas,PE,73.09,broken clouds,-5.2269,-75.6753,Hospedaje Eco
555,Lichinga,MZ,59.16,broken clouds,-13.3128,35.2406,Residencial 2+1
557,Teseney,ER,68.09,clear sky,15.11,36.6575,Costina Hotel Teseney Eritrea
559,Dakar,SN,77.88,clear sky,14.6937,-17.4441,翁记小吃
562,Sassandra,CI,77.77,clear sky,4.95,-6.0833,Hotel Le Pollet
571,Buraydah,SA,57.65,few clouds,26.326,43.975,دنا للوحدات السكنية
574,Bahia Blanca,AR,70.59,clear sky,-38.7196,-62.2724,Hotel Austral Bahía
578,Limenaria,GR,59.94,overcast clouds,40.6261,24.5786,Hotel George
583,Point Fortin,TT,74.89,overcast clouds,10.1833,-61.6833,Southwestern Courts
586,Ilebo,CD,65.12,overcast clouds,-4.3167,20.5833,Hôtel des Palmes
595,Kalmunai,LK,77.13,broken clouds,7.4167,81.8167,Saji new food
596,Srikakulam,IN,72.95,overcast clouds,18.3,83.9,Vijetha Inn
597,Berbera,SO,73.63,few clouds,10.4396,45.0143,Al Madina Hotel
600,Anzio,IT,62.01,overcast clouds,41.4853,12.6179,B&B Il Paradiso sul Mare
601,San Jose,US,55.71,overcast clouds,37.3394,-121.895,Hotel De Anza
603,Inirida,CO,72.21,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
611,Lardos,GR,66.94,scattered clouds,36.0942,28.0157,smartline Ellia
614,Phalaborwa,ZA,68.13,clear sky,-23.943,31.1411,Hans Merensky Hotel & Estate
618,Nouadhibou,MR,67.5,few clouds,20.931,-17.0347,Hotel valencia
620,Puerto Baquerizo Moreno,EC,69.19,broken clouds,-0.9,-89.6,Dory's House
627,Humaita,BR,77.86,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
628,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
630,Almeirim,BR,77.81,broken clouds,-1.5233,-52.5817,Kapejar Hotel
637,Mercedes,AR,71.85,overcast clouds,-34.6515,-59.4307,Gran Hotel Mercedes
639,Bujaru,BR,74.16,overcast clouds,-1.515,-48.0447,Hotel Beira-Rio
